Rank,Company,股票代码,部门,行业,盈利,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,资产,更新市值
814,AppLovin,APP,Tech0logy,Computer Software,1,1,0,1,67,1,0,0,0,0,1731,22795.6,3283.1,16.5,356.7,,5359.2,22796
815,ITT,ITT,Industrials,Industrial Machinery,1,0,0,1,47,1,0,0,0,0,10600,11168.1,3283,9.9,410.5,11.9,3932.6,11168
816,Herc Holdings,HRI,Business Services,Equipment Leasing,1,0,0,1,86,1,0,0,0,0,7200,4773,3282,19.8,347,5.2,7061,4773
817,Gray Television,GTN,Media,Entertainment,0,0,0,1,-58,0,1,0,0,0,9649,634.8,3281,-10.7,-76,-116.7,10640,635
818,IDEX,IEX,Industrials,Industrial Machinery,1,0,0,0,20,1,0,0,0,0,8800,18469.6,3273.9,2.9,596.1,1.6,5865.2,18470
819,Boston Properties,BXP,Financials,Real estate,1,0,0,1,26,1,0,0,0,0,836,10254.4,3273.6,5.3,190.2,-77.6,26026.1,10254
820,Pitney Bowes,PBI,Tech0logy,Computer Software,0,0,0,0,-38,0,1,0,0,0,10500,764.4,3266.3,-7.7,-385.6,-1143.9,4272.2,764
821,Steelcase,SCS,Household Products,"Home Equipment, Furnishings",1,0,1,0,75,1,0,0,1,0,12250,1494,3232.6,16.6,35.3,782.5,2202.8,1494
822,Sun Communities,SUI,Financials,Real estate,0,0,0,0,44,1,0,0,0,0,6757,15996.9,3224.6,8.6,-213.3,-188.1,16940.7,15997
823,AdaptHealth,AHCO,Health Care,Wholesalers: Health Care,0,0,1,0,42,1,0,0,0,0,10700,1529.8,3200.2,7.7,-678.9,-1079.4,4508.7,1530
824,Vertex Energy,VTNR,Energy,Petroleum Refining,0,1,0,0,54,1,0,0,0,0,481,130.9,3184.6,10.7,-71.5,,854.6,131
825,Genesis Energy,GEL,Energy,Pipelines,1,0,0,1,64,1,0,0,0,0,2137,1361.8,3177,13.9,117.7,56,7018.8,1362
826,Jackson Financial,JXN,Financials,"Insurance: Life, Health (stock)",1,0,1,0,-577,0,1,0,0,0,3428,5120,3159,-78.3,934,-83.6,330255,5120
827,FirstCash Holdings,FCFS,Retailing,Specialty Retailers: Other,1,0,0,1,78,1,0,0,0,0,19000,5753.1,3151.8,15.5,219.3,-13.5,4289.9,5753
828,Cal-Maine Foods,CALM,"Food, Beverages & Tobacco",Food Production,1,0,0,0,0,0,0,0,0,0,2896,2882.6,3146.2,77,758,471.4,1954.5,2883
829,Arch Resources,ARCH,Energy,"Mining, Crude-Oil Production",1,0,0,0,-75,0,1,0,0,0,3404,2933.8,3145.8,-15.5,464,-65.1,2484.2,2934
830,Avient,AVNT,Chemicals,Chemicals,1,0,0,0,-194,0,1,0,0,0,9300,3960.5,3142.8,-33.5,75.7,-89.2,5968.5,3961
831,Ca0 Health,,Health Care,Health Care: Medical Facilities,0,0,0,0,70,1,0,0,0,0,2700,1.2,3137.8,14.6,-594.4,,1013.7,1
832,BlueLinx Holdings,BXC,Wholesalers,Wholesalers: Diversified,1,0,0,0,-166,0,1,0,0,0,1990,1126.6,3136.4,-29.5,48.5,-83.6,1537.6,1127
833,Sinclair,SBGI,Media,Entertainment,0,0,0,0,-112,0,1,0,0,0,7300,856.7,3134,-20.2,-291,-111,6085,857
834,BOK Financial,BOKF,Financials,Commercial Banks,1,0,0,1,0,0,0,0,0,0,4966,5945.7,3132.4,53.9,530.7,2,49824.8,5946
835,Permian Resources,PR,Energy,"Mining, Crude-Oil Production",1,0,0,1,0,0,0,0,0,0,461,13631.1,3120.9,46.4,476.3,-7.5,14965.6,13631
836,Coinbase Global,COIN,Financials,Securities,1,1,0,0,-2,0,1,0,0,0,3416,64232,3108.4,-2.7,94.9,,206983,64232
837,Western Midstream Partners,WES,Energy,Pipelines,1,0,0,1,-11,0,1,0,0,0,1377,13526.2,3106.5,-4.5,1022.2,-16,12471.6,13526
838,G-III Apparel Group,GIII,Apparel,Apparel,1,0,0,0,-8,0,1,0,0,0,4050,1317.6,3098.2,-4,176.2,,2681.2,1318
839,Vontier,VNT,Tech0logy,"Electronics, Electrical Equip.",1,0,0,0,-4,0,1,0,0,0,8000,6980.9,3095.2,-2.8,376.9,-6.1,4294,6981
840,Matson,MATX,Transportation,Shipping,1,0,0,1,-163,0,1,0,0,0,4315,3876.4,3094.6,-28.7,297.1,-72.1,4294.6,3876
841,Kirby,KEX,Transportation,Shipping,1,0,0,1,48,1,0,0,0,0,5450,5573.5,3091.6,11,222.9,82.3,5722.2,5574
842,Kaiser Aluminum,KALU,Materials,Metals,1,0,0,0,-47,0,1,0,0,0,4000,1431.2,3087,-9.9,47.2,,2267.4,1431
843,Vista Outdoor,VSTO,Business Services,"Toys, Sporting Goods",0,0,0,1,7,1,0,0,0,0,7000,1906.1,3079.8,1.2,-9.7,-102.1,2798.9,1906
844,Designer Brands,DBI,Retailing,Specialty Retailers: Apparel,1,0,0,0,-30,0,1,0,0,0,14000,625.6,3075,-7.3,29.1,-82.1,2076.2,626
845,Rollins,ROL,Business Services,Diversified Outsourcing Services,1,0,0,1,66,1,0,0,0,0,19031,22419.4,3073.3,14,435,18,2595.5,22419
846,Advanced Drainage Systems,WMS,Materials,"Building Materials, Glass",1,0,0,1,49,1,0,0,0,0,5870,13368.7,3071.1,10.9,507.1,86.9,2901.1,13369
847,Cinemark Holdings,CNK,Media,Entertainment,1,0,0,1,111,1,0,0,0,0,17888,2188.3,3066.7,24.9,188.2,,4836.8,2188
848,CrowdStrike,CRWD,Tech0logy,Computer Software,1,1,0,1,0,0,0,0,0,1,7925,77540.7,3055.6,36.3,89.3,,6646.5,77541
849,Pinterest,PINS,Tech0logy,Internet Services and Retailing,0,0,0,1,33,1,0,0,0,0,4014,23540.4,3055.1,9,-35.6,,3594.4,23540
850,Instacart,CART,Retailing,Internet Services and Retailing,0,0,1,0,0,0,0,0,0,0,3380,9937.7,3042,19.2,-1622,-479,4727,9938
851,Hillenbrand,HI,Industrials,Industrial Machinery,1,0,1,0,16,1,0,0,0,0,10400,3527.9,3039.7,3.4,569.7,172.7,5547.7,3528
852,Allison Transmission Holdings,ALSN,Motor Vehicles & Parts,Motor Vehicles & Parts,1,0,0,1,44,1,0,0,0,0,3700,7110.6,3035,9.6,673,26.7,5025,7111
853,RH,RH,Retailing,Specialty Retailers: Other,1,0,0,0,-86,0,1,0,0,0,5645,6378.6,3029.1,-15.6,127.6,-75.9,4143.9,6379
854,Brookdale Senior Living,BKD,Health Care,Health Care: Medical Facilities,0,0,1,0,24,1,0,0,0,0,30600,1251.5,3015.8,6.7,-189,,5573.4,1252
855,QuidelOrtho,QDEL,Health Care,Medical Products and Equipment,0,0,0,1,-31,0,1,0,0,0,7100,3204.8,2997.8,-8.2,-10.1,-101.8,8563.1,3205
856,Trinity Industries,TRN,Transportation,Transportation Equipment,1,0,1,1,0,0,0,0,0,0,9480,2279.8,2983.3,50.9,106,76.4,8906.5,2280
857,Teleflex,TFX,Health Care,Medical Products and Equipment,1,0,0,0,29,1,0,0,0,0,14500,10642.8,2974.5,6.6,356.3,-1.9,7532.5,10643
858,HEICO,HEI,Aerospace & Defense,Aerospace & Defense,1,0,0,1,0,0,0,0,0,0,9600,23341.3,2968.1,34.4,403.6,14.8,7195.1,23341
859,Bruker,BRKR,Tech0logy,"Scientific,Photographic and  Control Equipment",1,0,0,1,86,1,0,0,0,0,9707,12932.8,2964.5,17.1,427.2,44,4249.9,12933
860,Carlyle Group,CG,Financials,Securities,0,0,0,1,-195,0,1,0,0,0,2200,16986.8,2963.9,-33.2,-608.4,-149.7,21176,16987
861,Energizer Holdings,ENR,Household Products,Household and Personal Products,1,0,0,0,-12,0,1,0,0,0,5080,2113.3,2959.7,-3,140.5,,4509.6,2113
862,Quad/Graphics,QUAD,Media,"Publishing, Printing",0,0,0,0,-31,0,1,0,0,0,13150,277.6,2957.7,-8.1,-55.4,-695.7,1509.7,278
863,Rackspace Tech0logy,RXT,Tech0logy,Internet Services and Retailing,0,0,0,0,-21,0,1,0,0,0,5800,347.2,2957.1,-5.3,-837.8,,4096.2,347
864,Waters,WAT,Tech0logy,"Scientific,Photographic and  Control Equipment",1,0,0,0,-2,0,1,0,0,0,7900,20379.3,2956.4,-0.5,642.2,-9.3,4626.9,20379
865,West Pharmaceutical Services,WST,Health Care,Medical Products and Equipment,1,0,0,0,8,1,0,0,0,0,10600,28968.1,2949.8,2.2,593.4,1.3,3829.5,28968
866,Carter's,CRI,Apparel,Apparel,1,0,0,0,-34,0,1,0,0,0,15230,3089.2,2945.6,-8.3,232.5,-7,2378.6,3089
867,NeueHealth,NEUE,Health Care,Health Care: Insurance and Managed Care,0,0,0,0,-355,0,1,0,0,0,1252,52.4,2938.1,-53.9,-1151.5,,1225.5,52
868,SkyWest,SKYW,Transportation,Airlines,1,0,0,0,-9,0,1,0,0,0,12296,2788.3,2935.4,-2.3,34.3,-52.9,7026.3,2788
869,Acadia Healthcare,ACHC,Health Care,Health Care: Medical Facilities,0,0,0,1,58,1,0,0,0,0,20250,7322.1,2928.7,12.2,-21.7,-107.9,5358.8,7322
870,Revvity,RVTY,Health Care,Medical Products and Equipment,1,0,0,0,-223,0,1,0,0,0,11500,12970.1,2926.9,-36.5,693.1,21.8,13564.7,12970
871,Portland General Electric,POR,Energy,Utilities: Gas and Electric,1,0,1,0,46,1,0,0,0,0,2842,4251.3,2923,10.4,228,-2.1,11208,4251
872,Woodward,WWD,Aerospace & Defense,Aerospace & Defense,1,0,0,1,0,0,0,0,0,0,8800,9293.2,2914.6,22.3,232.4,35.3,4010.2,9293
873,TEGNA,TGNA,Media,Entertainment,1,0,0,0,-52,0,1,0,0,0,6200,2631,2910.9,-11.2,476.7,-24.4,7000.1,2631
874,Sabre,SABR,Retailing,Internet Services and Retailing,0,0,0,0,70,1,0,0,0,0,6232,918.4,2907.7,14.6,-527.6,,4672.2,918
875,Light & Wonder,LNW,"Hotels, Restaurants & Leisure","Hotels, Casi0s, Resorts",1,0,0,1,0,0,0,0,0,0,6500,9170.7,2902,0.7,163,-95.6,5552,9171
876,Vail Resorts,MTN,"Hotels, Restaurants & Leisure","Hotels, Casi0s, Resorts",1,0,1,1,70,1,0,0,0,0,32100,8460.4,2889.4,14.4,268.1,-22.9,5947.8,8460
877,Radius Recycling,RDUS,Materials,Metals,0,0,1,0,-88,0,1,0,0,0,3353,588.7,2882.2,-17.3,-25.8,-115.3,1715.9,589
878,PennyMac Financial Services,PFSI,Financials,Diversified Financials,1,0,0,0,52,1,0,0,0,0,3914,4593.5,2881.8,10.9,144.7,-69.6,18844.6,4594
879,Saia,SAIA,Transportation,"Trucking, Truck Leasing",1,0,0,1,6,1,0,0,0,0,14000,15554,2881.4,3.2,354.9,-0.7,2583.6,15554
880,Equity Residential,EQR,Financials,Real estate,1,0,0,0,21,1,0,0,0,0,2400,23953.6,2874,5.1,835.4,7.5,20034.6,23954
881,Helmerich & Payne,HP,Energy,"Oil and Gas Equipment, Services",1,0,0,0,0,0,0,0,0,0,7100,4156.6,2872.4,39.5,434.1,6143.3,4382,4157
882,Korn Ferry,KFY,Business Services,Diversified Outsourcing Services,1,0,0,0,36,1,0,0,0,0,10697,3431.4,2863.8,8.3,209.5,-35.8,3574.4,3431
883,PC Connection,CNXN,Wholesalers,Wholesalers: Electronics and Office Equipment,1,0,0,1,-42,0,1,0,0,0,2703,1738.1,2850.6,-8.8,83.3,-6.7,1188.4,1738
884,Curtiss-Wright,CW,Aerospace & Defense,Aerospace & Defense,1,0,1,1,56,1,0,0,0,0,8600,9797.4,2845.4,11.3,354.5,20.4,4621,9797
885,SLM,SLM,Financials,Diversified Financials,1,0,0,1,0,0,0,0,0,0,1740,4801.4,2839.4,20,581.4,24,29169.5,4801
886,Benchmark Electronics,BHE,Tech0logy,Semiconductors and Other Electronic Components,1,0,0,1,-12,0,1,0,0,0,12703,1073.6,2839,-1.6,64.3,-5.7,2274.8,1074
887,American National Group,AEL,Financials,"Insurance: Life, Health (stock)",1,0,0,1,0,0,0,0,0,0,1020,4463.9,2836,100.4,210.5,-82.8,79918.3,4464
888,Pure Storage,PSTG,Tech0logy,"Computers, Office Equipment",1,0,0,1,10,1,0,0,0,0,5600,16892.1,2830.6,2.8,61.3,-16.1,3655.8,16892
889,Knife River,KNF,Materials,"Building Materials, Glass",1,0,0,0,0,0,0,0,0,0,4389,4589.9,2830.4,,182.9,,2599.8,4590
890,Caleres,CAL,Retailing,Specialty Retailers: Apparel,1,0,0,0,-25,0,1,0,0,0,7150,1456.7,2817.3,-5.1,171.4,-5.7,1804.7,1457
891,BrightView Holdings,BV,Business Services,Diversified Outsourcing Services,0,0,0,0,1,1,0,0,0,0,20700,1123.4,2816,1.5,-7.7,-155,3352.2,1123
892,Cooper-Standard Holdings,CPS,Motor Vehicles & Parts,Motor Vehicles & Parts,0,0,0,0,55,1,0,0,0,0,21500,284.8,2815.9,11.5,-202,,1872.3,285
893,Primerica,PRI,Financials,"Insurance: Life, Health (stock)",1,0,0,1,12,1,0,0,0,0,3150,8777.3,2815.7,3.5,576.6,54.6,15027.7,8777
894,F5,FFIV,Tech0logy,Network and Other Communications Equipment,1,0,0,0,16,1,0,0,0,0,6492,11149.1,2813.2,4.4,394.9,22.6,5248.3,11149
895,Matador Resources,MTDR,Energy,"Mining, Crude-Oil Production",1,1,0,1,-48,0,1,0,0,0,395,8331.6,2806.8,-8.2,846.1,-30.3,7727,8332
896,S0wflake,S0W,Tech0logy,Internet Services and Retailing,0,0,0,1,0,0,0,0,0,0,7004,54006.7,2806.5,35.9,-836.1,,8223.4,54007
897,Viasat,VSAT,Tech0logy,Network and Other Communications Equipment,1,1,0,0,-9,0,1,0,0,0,6800,2267,2803.2,0.6,1084.8,,7730.3,2267
898,California Resources,CRC,Energy,"Mining, Crude-Oil Production",1,0,0,0,9,1,0,0,0,0,970,3788.8,2801,3.5,564,7.6,3998,3789
899,Peloton Interactive,PTON,"Hotels, Restaurants & Leisure","Toys, Sporting Goods",0,0,1,0,-131,0,1,0,0,0,3541,1572,2800.2,-21.8,-1261.7,,2769.1,1572
900,Roblox,RBLX,Media,Entertainment,0,1,0,1,0,0,0,0,0,0,2457,24115.9,2799.3,25.8,-1151.9,,6168.1,24116
901,Installed Building Products,IBP,Engineering & Construction,Homebuilders,1,0,0,1,14,1,0,0,0,0,10600,7339.2,2778.6,4.1,243.7,9.1,1981.3,7339
902,First National of Nebraska,FINN,Financials,Commercial Banks,1,0,0,0,0,0,0,0,0,0,4799,3265.1,2777.5,40.6,227.4,-29.5,31285.9,3265
903,Guess,GES,Retailing,Specialty Retailers: Apparel,1,0,0,0,10,1,0,0,0,0,12000,1689.9,2776.5,3.3,198.2,32.5,2590,1690
904,ESAB,ESAB,Industrials,Industrial Machinery,1,0,0,0,28,1,0,0,0,0,9000,6671.5,2774.8,7,205.3,-8.3,3828.6,6672
905,AvalonBay Communities,AVB,Financials,Real estate,1,0,0,1,27,1,0,0,0,0,3009,26383.6,2767.9,6.7,928.8,-18.3,20678.2,26384
906,DocuSign,DOCU,Tech0logy,Computer Software,1,0,0,0,41,1,0,0,0,0,6840,12232.5,2761.9,9.8,74,,2971.3,12233
907,Titan Machinery,TITN,Retailing,Specialty Retailers: Other,1,0,0,1,0,0,0,0,0,0,3471,566.9,2758.4,24.9,112.4,10.4,1992.3,567
908,ModivCare,MODV,Health Care,Health Care: Pharmacy and Other Services,0,0,0,1,41,1,0,0,0,0,21200,332.9,2756.2,9.7,-204.5,,1767.3,333
909,Hovnanian Enterprises,HOV,Engineering & Construction,Homebuilders,1,0,0,0,-42,0,1,0,0,0,1715,956.7,2756,-5.7,205.9,-8.7,2492.9,957
910,Etsy,ETSY,Retailing,Internet Services and Retailing,1,0,0,0,26,1,0,0,0,0,2420,8142.8,2748.4,7.1,307.6,,2685.4,8143
911,Adams Resources & Energy,AE,Energy,Petroleum Refining,1,0,0,0,-111,0,1,0,0,0,741,74.4,2745.3,-18.5,0.2,-93.9,361.3,74
912,Surgery Partners,SGRY,Health Care,Health Care: Medical Facilities,0,0,0,1,30,1,0,0,0,0,12000,3776.7,2743.3,8,-11.9,,6876.7,3777
913,Columbia Banking System,COLB,Financials,Commercial Banks,1,0,0,1,0,0,0,0,0,0,5114,4050.2,2743.3,103.6,348.7,3.6,52173.6,4050
914,Verisk,VRSK,Business Services,Financial Data Services,1,0,0,1,-63,0,1,0,0,0,7500,33801.3,2728.2,-10.1,614.6,-35.6,4366.1,33801
915,MasterBrand,MBC,Materials,"Building Materials, Glass",1,0,0,0,0,0,0,0,0,0,12307,2380,2726.2,,182,,2381.7,2380
916,Hawaiian Holdings,HA,Transportation,Airlines,0,0,0,1,2,1,0,0,0,0,7362,690.8,2716.3,2.8,-260.5,,3733.5,691
917,AMC Networks,AMCX,Media,Entertainment,1,0,1,0,-74,0,1,0,0,0,1900,528.4,2711.9,-12.4,215.5,2737.3,4969.8,528
918,SBA Communications,SBAC,Financials,Real estate,1,0,0,0,1,1,0,0,0,0,1787,23427.2,2711.6,3,501.8,8.8,10178.4,23427
919,Americold Realty Trust,COLD,Financials,Real estate,0,0,0,0,-51,0,1,0,0,0,14632,7071.9,2702.8,-7.3,-336.2,,7869.3,7072
920,NewMarket,NEU,Chemicals,Chemicals,1,0,0,0,-24,0,1,0,0,0,2000,6085.6,2698.4,-2.4,388.9,39.1,2308.9,6086
921,Park Hotels & Resorts,PK,Financials,Real estate,1,0,0,0,30,1,0,0,0,0,90,3682.3,2698,7.9,97,-40.1,9419,3682
922,Alexandria Real Estate Equities,ARE,Financials,Real estate,1,0,0,0,0,0,0,0,0,0,568,22555.2,2690.3,19.2,103.6,-80.1,36771.4,22555
923,Griffon,GFF,Materials,"Building Materials, Glass",1,0,0,0,-67,0,1,0,0,0,5700,3763,2685.2,-10.8,77.6,,2418.9,3763
924,Air Lease,AL,Business Services,Equipment Leasing,1,0,0,1,0,0,0,0,0,0,163,5728.7,2685,15.9,614.6,,30452.3,5729
925,Teradyne,TER,Tech0logy,Semiconductors and Other Electronic Components,1,0,0,0,-90,0,1,0,0,0,6500,17260,2676.3,-15.2,448.8,-37.3,3486.8,17260
926,OGE Energy,OGE,Energy,Utilities: Gas and Electric,1,0,0,1,-130,0,1,0,0,0,2329,6871.3,2674.3,-20.8,416.8,-37.4,12790.7,6871
927,Bio-Rad Laboratories,BIO,Tech0logy,"Scientific,Photographic and  Control Equipment",0,0,0,0,-46,0,1,0,0,0,8030,9794,2671.3,-4.7,-637.3,,12299.1,9794
928,Spire,SR,Energy,Utilities: Gas and Electric,1,0,0,1,0,0,0,0,0,0,3589,3374.3,2666.3,21.3,217.5,-1.5,10313.6,3374
929,Gannett,GCI,Media,"Publishing, Printing",0,0,0,0,-65,0,1,0,0,0,12800,363.1,2663.6,-9.6,-27.8,,2181.2,363
930,Stericycle,SRCL,Business Services,Waste Management,0,0,1,0,-23,0,1,0,0,0,13948,4882.9,2659.3,-1.7,-21.4,-138.2,5352.6,4883
931,Cullen/Frost Bankers,CFR,Financials,Commercial Banks,1,0,0,1,0,0,0,0,0,0,5495,7228.9,2646.3,40.7,598,3.3,50845,7229
932,Extra Space Storage,EXR,Financials,Real estate,1,0,0,1,0,0,0,0,0,0,7618,31101.5,2645.1,32.7,803.2,-6.7,27456.3,31102
933,REV Group,REVG,Motor Vehicles & Parts,Motor Vehicles & Parts,1,0,0,0,0,0,0,0,0,0,6724,1144.3,2638,13.1,45.3,198,1410.4,1144
934,ProFrac Holding,ACDC,Energy,"Oil and Gas Equipment, Services",0,1,0,0,26,1,0,0,0,0,2949,1334.2,2630,8.4,-97.7,-206.8,3070.7,1334
935,0rdson,NDSN,Industrials,Industrial Machinery,1,0,0,1,-3,0,1,0,0,0,7900,15701.6,2628.6,1.5,487.5,-5,5251.8,15702
936,Summit Materials,SUM,Materials,"Building Materials, Glass",1,0,1,1,25,1,0,0,0,0,5300,7767.1,2619.5,8.6,285.9,5,5149.6,7767
937,Valvoline,VVV,Chemicals,Chemicals,1,0,1,1,-221,0,1,0,0,0,10250,5778.5,2617.9,-33.4,1419.7,234.6,2889.9,5779
938,Kontoor Brands,KTB,Apparel,Apparel,1,0,0,0,-19,0,1,0,0,0,13700,3359.5,2607.5,-0.9,231,-5.9,1645.4,3360
939,Skyline Champion,SKY,Engineering & Construction,Homebuilders,1,0,0,0,0,0,0,0,0,0,7700,4909.6,2606.6,18.1,401.8,62,1562.7,4910
940,Teladoc Health,TDOC,Health Care,Health Care: Pharmacy and Other Services,0,0,1,0,22,1,0,0,0,0,5208,2522.3,2602.4,8.1,-220.4,,4392.4,2522
941,Louisiana-Pacific,LPX,Materials,"Building Materials, Glass",1,0,0,0,-261,0,1,0,0,0,4100,6067.6,2581,-40.1,178,-83.6,2437,6068
942,Universal,UVV,"Food, Beverages & Tobacco",Tobacco,1,0,0,1,0,0,0,0,0,0,19600,1270.9,2569.8,22.2,124.1,43.3,2639.2,1271
943,Consol Energy,CEIX,Energy,"Mining, Crude-Oil Production",1,0,0,1,0,0,0,0,0,0,2020,2480,2568.9,22.2,655.9,40.5,2675,2480
944,Encore Wire,,Industrials,"Electronics, Electrical Equip.",1,0,0,0,-91,0,1,0,0,0,1629,4147.7,2567.7,-14.9,372.4,-48.1,1967.9,4148
945,Playtika Holding,PLTK,Media,Entertainment,1,1,0,0,-22,0,1,0,0,0,3600,2613.1,2567,-1.9,235,-14.6,3175,2613
946,Alliance Resource Partners,ARLP,Energy,"Mining, Crude-Oil Production",1,0,0,1,17,1,0,0,0,0,3595,2567.6,2566.7,6.7,630.1,7.5,2788.4,2568
947,Envista Holdings,NVST,Health Care,Medical Products and Equipment,0,0,0,1,-14,0,1,0,0,0,12800,3674.3,2566.5,-0.6,-100.2,-141.2,6605.1,3674
948,Shift4 Payments,FOUR,Business Services,Financial Data Services,1,1,0,1,0,0,0,0,0,0,3030,5694.7,2564.8,28.7,86.2,14.8,3387.8,5695
949,Talen Energy,TLNE,Energy,Energy,0,0,0,0,0,0,0,0,0,0,2000,5569.4,2554,-17.3,,,7121,5569
950,Carpenter Tech0logy,CRS,Materials,Metals,1,0,0,1,0,0,0,0,0,0,4500,3529,2550.3,38.9,56.4,,3053.9,3529
951,WEX,WEX,Business Services,Financial Data Services,1,0,1,1,0,0,0,0,0,0,7200,9913.3,2548,8.4,266.6,32.3,13882.1,9913
952,Old National Bancorp,ONB,Financials,Commercial Banks,1,0,0,0,0,0,0,0,0,0,3940,5096,2540.2,37,582,35.9,49089.8,5096
953,AGNC Investment,AGNC,Financials,Real estate,1,0,0,1,0,0,0,0,0,0,53,6887.3,2538,,155,,71596,6887
954,Wabash National,WNC,Motor Vehicles & Parts,Motor Vehicles & Parts,1,0,0,0,-5,0,1,0,0,0,6667,1349.9,2536.5,1.4,231.3,106,1362.8,1350
955,MSCI,MSCI,Business Services,Financial Data Services,1,0,0,1,0,0,0,0,0,0,5794,44400.8,2528.9,12.5,1148.6,31.9,5518.2,44401
956,Stagwell,STGW,Business Services,"Advertising, marketing",1,1,0,0,-46,0,1,0,0,0,10250,1670.4,2527.2,-6,0.1,-99.5,3767,1670
957,Mativ Holdings,MATV,Chemicals,Chemicals,0,0,1,0,0,0,0,0,0,0,5400,1018.1,2516.9,16.1,-309.5,,2642.4,1018
958,Belden,BDC,Industrials,"Electronics, Electrical Equip.",1,0,0,0,-36,0,1,0,0,0,8000,3804.9,2512.1,-4.1,242.8,-4.7,3240.2,3805
959,Allegiant Travel,ALGT,Transportation,Airlines,1,0,0,1,0,0,0,0,0,0,6686,1375.3,2509.9,9,117.6,4617,4869.4,1375
960,Dropbox,DBX,Tech0logy,Computer Software,1,1,0,0,0,0,0,0,0,0,2693,8358.8,2501.6,7.6,453.6,-18,2983.5,8359
961,Exact Sciences,EXAS,Health Care,Pharmaceuticals,0,0,0,1,0,0,0,0,0,0,6550,12536.5,2499.8,19.9,-204.1,,6471.3,12537
962,BWX Tech0logies,BWXT,Aerospace & Defense,Aerospace & Defense,1,0,0,1,0,0,0,0,0,0,7800,9380.2,2496.3,11.8,245.8,3.2,2747.1,9380
963,Clear Channel Outdoor Hldgs.,CCO,Business Services,"Advertising, marketing",0,0,0,0,-10,0,1,0,0,0,3900,798.1,2489,0.3,-310.9,,4722.5,798
