Rank,Company,股票代码,部门,行业,盈利,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,资产,更新市值
699,Patterson-UTI Energy,PTEN,Energy,"Oil and Gas Equipment, Services",1,0,0,1,221,1,0,0,0,0,10600,4873.8,4146.5,56.6,246.3,59.2,7420,4874
700,Brinker International,EAT,"Hotels, Restaurants & Leisure",Food Services,1,0,0,1,42,1,0,0,0,0,64323,2197.2,4133.2,8.7,102.6,-12.8,2487,2197
701,Charles River Laboratories International,CRL,Health Care,Health Care: Pharmacy and Other Services,1,0,0,1,13,1,0,0,1,0,21100,13956.8,4129.4,3.9,474.6,-2.4,8195,13957
702,Hyster-Yale,HY,Industrials,Industrial Machinery,1,0,0,1,80,1,0,0,0,0,8600,1122.3,4118.3,16.1,125.9,,2079.1,1122
703,Brighthouse Financial,BHF,Financials,"Insurance: Life, Health (stock)",0,0,0,0,-286,0,1,0,0,0,1500,3240.9,4117,-51.4,-1112,-22340,236340,3241
704,Service Corp. International,SCI,Business Services,Miscellaneous,1,0,0,0,-4,0,1,0,0,0,21267,10872.8,4099.8,-0.2,537.3,-5,16355.4,10873
705,CrossAmerica Partners,CAPL,Energy,"Oil and Gas Equipment, Services",1,0,0,1,-65,0,1,0,0,0,2521,865.6,4090.5,-12.9,42.6,-33.1,1181.7,866
706,Cadence,CDNS,Tech0logy,Computer Software,1,0,0,1,72,1,0,0,0,1,11226,84855.2,4090,14.8,1041.1,22.6,5669.5,84855
707,MillerK0ll,MLKN,Household Products,"Home Equipment, Furnishings",1,0,1,0,11,1,0,0,0,0,10900,1803,4087.1,3.6,42.1,,4274.8,1803
708,Realty Income,O,Financials,Real estate,1,0,0,1,103,1,0,0,0,0,418,46586.8,4079,22,872.3,0.3,57779.4,46587
709,Middleby,MIDD,Industrials,Industrial Machinery,1,0,0,0,-1,0,1,0,0,0,10722,8644.6,4036.6,0.1,400.9,-8.2,6906.7,8645
710,M/I Homes,MHO,Engineering & Construction,Homebuilders,1,0,0,0,-12,0,1,0,0,0,1607,3789.8,4033.5,-2.4,465.4,-5.2,4022.4,3790
711,Hologic,HOLX,Health Care,Medical Products and Equipment,1,0,0,1,-82,0,1,0,0,0,6990,18299.7,4030.4,-17.1,456,-65,9139.3,18300
